Date,Open,High,Low,Close
09/30/2024,"18,069.83","18,198.16","17,997.56","18,189.17"
09/27/2024,"18,228.78","18,238.28","18,069.18","18,119.59"
09/26/2024,"18,327.34","18,327.34","18,071.74","18,190.29"
09/25/2024,"18,050.36","18,155.04","18,040.62","18,082.21"
09/24/2024,"18,046.44","18,091.96","17,863.38","18,074.52"
09/23/2024,"17,994.90","18,021.57","17,936.37","17,974.27"
09/20/2024,"17,999.35","18,024.34","17,835.64","17,948.32"
09/19/2024,"17,980.89","18,099.93","17,909.75","18,013.98"
09/18/2024,"17,663.38","17,832.70","17,556.43","17,573.30"
09/17/2024,"17,707.02","17,781.74","17,544.64","17,628.06"
09/16/2024,"17,573.70","17,618.40","17,480.66","17,592.13"
09/13/2024,"17,575.26","17,719.14","17,564.61","17,683.98"
09/12/2024,"17,413.89","17,605.72","17,338.32","17,569.68"
09/11/2024,"17,061.41","17,420.23","16,787.84","17,395.53"
09/10/2024,"16,949.64","17,036.07","16,801.13","17,025.88"
09/09/2024,"16,835.67","16,923.28","16,732.84","16,884.60"
09/06/2024,"17,137.62","17,166.55","16,668.57","16,690.83"
09/05/2024,"17,063.24","17,295.58","17,035.07","17,127.66"
09/04/2024,"17,015.72","17,232.65","16,984.67","17,084.30"
09/03/2024,"17,585.45","17,585.45","17,057.79","17,136.30"
08/30/2024,"17,650.49","17,720.38","17,498.79","17,713.62"
08/29/2024,"17,610.57","17,789.21","17,482.60","17,516.43"
08/28/2024,"17,738.80","17,759.94","17,439.40","17,556.03"
08/27/2024,"17,655.52","17,789.72","17,573.37","17,754.82"
08/26/2024,"17,867.85","17,909.09","17,645.69","17,725.76"
08/23/2024,"17,772.73","17,941.27","17,700.27","17,877.79"
08/22/2024,"17,993.72","18,017.69","17,589.15","17,619.35"
08/21/2024,"17,840.51","17,963.07","17,790.98","17,918.99"
08/20/2024,"17,849.09","17,932.53","17,758.20","17,816.94"
08/19/2024,"17,649.74","17,877.44","17,585.58","17,876.77"
08/16/2024,"17,516.40","17,674.65","17,502.82","17,631.72"
08/15/2024,"17,394.55","17,602.72","17,375.41","17,594.50"
08/14/2024,"17,227.64","17,260.73","17,032.17","17,192.60"
08/13/2024,"16,944.74","17,192.80","16,943.95","17,187.61"
08/12/2024,"16,793.64","16,895.79","16,699.39","16,780.61"
08/09/2024,"16,636.52","16,789.22","16,574.57","16,745.30"
08/08/2024,"16,408.27","16,694.25","16,262.93","16,660.02"
08/07/2024,"16,622.31","16,709.81","16,179.53","16,195.81"
08/06/2024,"16,261.36","16,620.31","16,137.65","16,366.85"
08/05/2024,"15,712.53","16,453.46","15,708.54","16,200.08"
08/02/2024,"16,780.45","16,920.63","16,582.79","16,776.16"
08/01/2024,"17,647.03","17,791.59","17,051.42","17,194.15"
07/31/2024,"17,499.23","17,693.98","17,438.60","17,599.40"
07/30/2024,"17,424.10","17,468.56","17,015.38","17,147.42"
07/29/2024,"17,444.39","17,535.32","17,299.83","17,370.20"
07/26/2024,"17,331.95","17,454.57","17,239.99","17,357.88"
07/25/2024,"17,352.65","17,544.46","17,033.97","17,181.72"
07/24/2024,"17,733.91","17,747.06","17,313.52","17,342.41"
07/23/2024,"17,982.74","18,128.39","17,968.10","17,997.35"
07/22/2024,"17,923.65","18,040.99","17,839.76","18,007.57"
07/19/2024,"17,835.59","17,935.14","17,691.43","17,726.94"
07/18/2024,"18,119.15","18,130.87","17,759.55","17,871.22"
07/17/2024,"18,188.19","18,223.24","17,972.87","17,996.92"
07/16/2024,"18,534.27","18,576.83","18,386.07","18,509.34"
07/15/2024,"18,485.91","18,641.53","18,397.83","18,472.57"
07/12/2024,"18,303.64","18,556.73","18,293.60","18,398.45"
07/11/2024,"18,659.25","18,671.07","18,238.78","18,283.41"
07/10/2024,"18,512.09","18,655.19","18,467.58","18,647.45"
07/09/2024,"18,465.02","18,511.89","18,381.60","18,429.29"
07/08/2024,"18,371.86","18,416.94","18,342.60","18,403.74"
07/05/2024,"18,200.60","18,366.31","18,197.14","18,352.76"
07/03/2024,"18,016.12","18,188.30","18,016.12","18,188.30"
07/02/2024,"17,808.04","18,031.29","17,802.24","18,028.76"
07/01/2024,"17,773.90","17,894.28","17,657.64","17,879.30"
06/28/2024,"17,891.10","18,035.00","17,723.83","17,732.60"
06/27/2024,"17,793.95","17,892.78","17,765.42","17,858.68"
06/26/2024,"17,697.27","17,813.55","17,687.07","17,805.16"
06/25/2024,"17,572.16","17,734.35","17,546.63","17,717.65"
06/24/2024,"17,640.26","17,730.12","17,494.02","17,496.82"
06/21/2024,"17,681.01","17,787.34","17,620.57","17,689.36"
06/20/2024,"17,913.94","17,936.79","17,650.70","17,721.59"
06/18/2024,"17,856.76","17,890.52","17,796.88","17,862.23"
06/17/2024,"17,697.30","17,935.98","17,636.36","17,857.02"
06/14/2024,"17,621.18","17,693.43","17,590.80","17,688.88"
06/13/2024,"17,715.27","17,741.80","17,566.32","17,667.56"
06/12/2024,"17,502.15","17,725.39","17,490.64","17,608.44"
06/11/2024,"17,160.42","17,345.05","17,107.99","17,343.55"
06/10/2024,"17,083.45","17,213.45","17,057.34","17,192.53"
06/07/2024,"17,124.14","17,229.31","17,090.05","17,133.13"
06/06/2024,"17,204.87","17,235.73","17,123.59","17,173.12"
06/05/2024,"16,974.48","17,187.92","16,955.56","17,187.90"
06/04/2024,"16,823.88","16,891.87","16,750.39","16,857.05"
06/03/2024,"16,865.70","16,909.89","16,646.43","16,828.67"
05/31/2024,"16,771.90","16,789.27","16,445.54","16,735.02"
05/30/2024,"16,878.63","16,900.46","16,690.36","16,737.08"
05/29/2024,"16,879.35","16,989.60","16,873.97","16,920.58"
05/28/2024,"16,988.31","17,032.65","16,917.51","17,019.88"
05/24/2024,"16,786.80","16,947.80","16,771.58","16,920.79"
05/23/2024,"16,996.39","16,996.39","16,678.37","16,736.03"
05/22/2024,"16,839.02","16,855.27","16,712.09","16,801.54"
05/21/2024,"16,736.10","16,839.02","16,719.97","16,832.62"
